season,league_slug,div,match_date,home_team,away_team,fthg,ftag,ftr,referee,b365h,b365d,b365a,avg_h,avg_d,avg_a,fetched_at,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds
2021/2022,ita.1,I1,10/04/2022,Roma,Salernitana,2,1,H,,1.28,5.75,11.0,1.28,5.82,11.15,2026-07-20T17:15:10.261993,,,,,,,,,,,,
2021/2022,ita.1,I1,10/04/2022,Torino,Milan,0,0,D,,4.2,3.5,1.9,4.19,3.51,1.94,2026-07-20T17:15:10.262018,,,,,,,,,,,,
2021/2022,ita.1,I1,11/04/2022,Bologna,Sampdoria,2,0,H,,2.1,3.5,3.5,2.18,3.38,3.45,2026-07-20T17:15:10.262035,,,,,,,,,,,,
2021/2022,ita.1,I1,15/04/2022,Spezia,Inter,1,3,A,,9.5,5.5,1.3,9.88,5.54,1.31,2026-07-20T17:15:10.262052,,,,,,,,,,,,
2021/2022,ita.1,I1,15/04/2022,Milan,Genoa,2,0,H,,1.33,5.0,11.0,1.32,5.13,10.71,2026-07-20T17:15:10.262069,,,,,,,,,,,,
2021/2022,ita.1,I1,16/04/2022,Cagliari,Sassuolo,1,0,H,,2.87,3.6,2.37,2.87,3.68,2.36,2026-07-20T17:15:10.262090,,,,,,,,,,,,
2021/2022,ita.1,I1,16/04/2022,Sampdoria,Salernitana,1,2,A,,1.83,3.75,4.2,1.83,3.74,4.32,2026-07-20T17:15:10.262106,,,,,,,,,,,,
2021/2022,ita.1,I1,16/04/2022,Udinese,Empoli,4,1,H,,1.8,3.75,4.5,1.82,3.7,4.48,2026-07-20T17:15:10.262123,,,,,,,,,,,,
2021/2022,ita.1,I1,16/04/2022,Fiorentina,Venezia,1,0,H,,1.36,5.0,8.5,1.36,5.06,8.99,2026-07-20T17:15:10.262149,,,,,,,,,,,,
2021/2022,ita.1,I1,16/04/2022,Juventus,Bologna,1,1,D,,1.33,5.0,10.0,1.35,5.01,9.81,2026-07-20T17:15:10.262165,,,,,,,,,,,,
2021/2022,ita.1,I1,16/04/2022,Lazio,Torino,1,1,D,,1.65,3.8,5.5,1.64,3.92,5.54,2026-07-20T17:15:10.262187,,,,,,,,,,,,
2021/2022,ita.1,I1,18/04/2022,Napoli,Roma,1,1,D,,1.9,3.6,4.0,1.91,3.66,4.02,2026-07-20T17:15:10.262204,,,,,,,,,,,,
2021/2022,ita.1,I1,18/04/2022,Atalanta,Verona,1,2,A,,1.65,4.1,5.0,1.62,4.22,5.25,2026-07-20T17:15:10.262220,,,,,,,,,,,,
2021/2022,ita.1,I1,20/04/2022,Udinese,Salernitana,0,1,A,,1.5,4.5,6.0,1.51,4.4,6.33,2026-07-20T17:15:10.262239,,,,,,,,,,,,
2021/2022,ita.1,I1,23/04/2022,Torino,Spezia,2,1,H,,1.66,3.6,5.5,1.69,3.77,5.33,2026-07-20T17:15:10.262259,,,,,,,,,,,,
2021/2022,ita.1,I1,23/04/2022,Venezia,Atalanta,1,3,A,,6.5,4.33,1.5,6.62,4.54,1.49,2026-07-20T17:15:10.262282,,,,,,,,,,,,
2021/2022,ita.1,I1,23/04/2022,Inter,Roma,3,1,H,,1.61,4.0,5.5,1.63,4.04,5.43,2026-07-20T17:15:10.262302,,,,,,,,,,,,
2021/2022,ita.1,I1,23/04/2022,Verona,Sampdoria,1,1,D,,1.75,3.75,4.6,1.78,3.76,4.63,2026-07-20T17:15:10.262329,,,,,,,,,,,,
2021/2022,ita.1,I1,24/04/2022,Salernitana,Fiorentina,2,1,H,,5.5,3.8,1.66,5.45,3.99,1.64,2026-07-20T17:15:10.262355,,,,,,,,,,,,
2021/2022,ita.1,I1,24/04/2022,Bologna,Udinese,2,2,D,,2.8,3.25,2.6,2.87,3.33,2.54,2026-07-20T17:15:10.262377,,,,,,,,,,,,
2021/2022,ita.1,I1,24/04/2022,Empoli,Napoli,3,2,H,,5.5,4.0,1.6,5.38,4.18,1.62,2026-07-20T17:15:10.262394,,,,,,,,,,,,
2021/2022,ita.1,I1,24/04/2022,Genoa,Cagliari,1,0,H,,2.2,3.25,3.5,2.23,3.23,3.51,2026-07-20T17:15:10.262417,,,,,,,,,,,,
2021/2022,ita.1,I1,24/04/2022,Lazio,Milan,1,2,A,,2.9,3.4,2.45,2.9,3.45,2.45,2026-07-20T17:15:10.262433,,,,,,,,,,,,
2021/2022,ita.1,I1,25/04/2022,Sassuolo,Juventus,1,2,A,,4.2,3.9,1.8,4.24,3.89,1.81,2026-07-20T17:15:10.262450,,,,,,,,,,,,
2021/2022,ita.1,I1,27/04/2022,Fiorentina,Udinese,0,4,A,,1.7,4.0,4.75,1.71,3.97,4.84,2026-07-20T17:15:10.262468,,,,,,,,,,,,
2021/2022,ita.1,I1,27/04/2022,Atalanta,Torino,4,4,D,,1.6,4.0,5.75,1.6,4.17,5.66,2026-07-20T17:15:10.262495,,,,,,,,,,,,
2021/2022,ita.1,I1,27/04/2022,Bologna,Inter,2,1,H,,7.0,5.0,1.4,7.69,5.05,1.4,2026-07-20T17:15:10.262516,,,,,,,,,,,,
2021/2022,ita.1,I1,30/04/2022,Cagliari,Verona,1,2,A,,2.45,3.6,2.75,2.54,3.46,2.78,2026-07-20T17:15:10.262546,,,,,,,,,,,,
2021/2022,ita.1,I1,30/04/2022,Napoli,Sassuolo,6,1,H,,1.45,4.75,6.5,1.47,4.93,6.27,2026-07-20T17:15:10.262566,,,,,,,,,,,,
2021/2022,ita.1,I1,30/04/2022,Sampdoria,Genoa,1,0,H,,2.75,3.25,2.62,2.75,3.17,2.74,2026-07-20T17:15:10.262583,,,,,,,,,,,,
2021/2022,ita.1,I1,30/04/2022,Spezia,Lazio,3,4,A,,5.5,3.75,1.65,5.06,4.0,1.68,2026-07-20T17:15:10.262601,,,,,,,,,,,,
2021/2022,ita.1,I1,01/05/2022,Juventus,Venezia,2,1,H,,1.2,6.5,15.0,1.21,6.75,14.32,2026-07-20T17:15:10.262618,,,,,,,,,,,,
2021/2022,ita.1,I1,01/05/2022,Empoli,Torino,1,3,A,,2.7,3.4,2.55,2.77,3.45,2.55,2026-07-20T17:15:10.262634,,,,,,,,,,,,
2021/2022,ita.1,I1,01/05/2022,Milan,Fiorentina,1,0,H,,1.61,4.0,5.5,1.65,3.96,5.5,2026-07-20T17:15:10.262658,,,,,,,,,,,,
2021/2022,ita.1,I1,01/05/2022,Udinese,Inter,1,2,A,,6.0,4.2,1.55,5.99,4.3,1.56,2026-07-20T17:15:10.262687,,,,,,,,,,,,
2021/2022,ita.1,I1,01/05/2022,Roma,Bologna,0,0,D,,1.5,4.5,6.0,1.47,4.62,6.76,2026-07-20T17:15:10.262714,,,,,,,,,,,,
2021/2022,ita.1,I1,02/05/2022,Atalanta,Salernitana,1,1,D,,1.25,6.5,9.5,1.27,6.01,11.1,2026-07-20T17:15:10.262740,,,,,,,,,,,,
2021/2022,ita.1,I1,05/05/2022,Salernitana,Venezia,2,1,H,,1.75,3.6,4.5,1.82,3.75,4.39,2026-07-20T17:15:10.262764,,,,,,,,,,,,
2021/2022,ita.1,I1,06/05/2022,Inter,Empoli,4,2,H,,1.14,9.0,15.0,1.14,9.17,17.69,2026-07-20T17:15:10.262785,,,,,,,,,,,,
2021/2022,ita.1,I1,06/05/2022,Genoa,Juventus,2,1,H,,3.75,3.3,2.05,3.91,3.26,2.09,2026-07-20T17:15:10.262802,,,,,,,,,,,,
2021/2022,ita.1,I1,07/05/2022,Torino,Napoli,0,1,A,,3.6,3.5,2.05,3.56,3.64,2.05,2026-07-20T17:15:10.262818,,,,,,,,,,,,
2021/2022,ita.1,I1,07/05/2022,Sassuolo,Udinese,1,1,D,,2.3,3.6,2.87,2.35,3.74,2.87,2026-07-20T17:15:10.262840,,,,,,,,,,,,
2021/2022,ita.1,I1,07/05/2022,Lazio,Sampdoria,2,0,H,,1.44,4.75,6.5,1.47,4.7,6.74,2026-07-20T17:15:10.262856,,,,,,,,,,,,
2021/2022,ita.1,I1,08/05/2022,Spezia,Atalanta,1,3,A,,6.5,4.75,1.45,6.33,4.78,1.48,2026-07-20T17:15:10.262882,,,,,,,,,,,,
2021/2022,ita.1,I1,08/05/2022,Venezia,Bologna,4,3,H,,2.87,3.5,2.35,3.0,3.55,2.33,2026-07-20T17:15:10.262902,,,,,,,,,,,,
2021/2022,ita.1,I1,08/05/2022,Salernitana,Cagliari,1,1,D,,2.37,3.4,3.0,2.42,3.34,3.03,2026-07-20T17:15:10.262931,,,,,,,,,,,,
2021/2022,ita.1,I1,08/05/2022,Verona,Milan,1,3,A,,4.33,4.2,1.7,4.47,4.02,1.76,2026-07-20T17:15:10.262952,,,,,,,,,,,,
2021/2022,ita.1,I1,09/05/2022,Fiorentina,Roma,2,0,H,,2.37,3.3,3.0,2.39,3.41,3.02,2026-07-20T17:15:10.262968,,,,,,,,,,,,
2021/2022,ita.1,I1,14/05/2022,Empoli,Salernitana,1,1,D,,3.1,3.75,2.1,3.17,3.81,2.14,2026-07-20T17:15:10.262985,,,,,,,,,,,,
2021/2022,ita.1,I1,14/05/2022,Udinese,Spezia,2,3,A,,1.83,3.9,4.0,1.86,3.82,4.11,2026-07-20T17:15:10.263004,,,,,,,,,,,,
2021/2022,ita.1,I1,14/05/2022,Verona,Torino,0,1,A,,2.3,3.5,3.0,2.31,3.48,3.1,2026-07-20T17:15:10.263020,,,,,,,,,,,,
2021/2022,ita.1,I1,14/05/2022,Roma,Venezia,1,1,D,,1.25,6.5,11.0,1.24,6.56,11.28,2026-07-20T17:15:10.263037,,,,,,,,,,,,
2021/2022,ita.1,I1,15/05/2022,Bologna,Sassuolo,1,3,A,,2.4,3.8,2.62,2.47,3.76,2.68,2026-07-20T17:15:10.263056,,,,,,,,,,,,
2021/2022,ita.1,I1,15/05/2022,Napoli,Genoa,3,0,H,,1.8,4.0,3.8,1.84,3.99,4.02,2026-07-20T17:15:10.263080,,,,,,,,,,,,
2021/2022,ita.1,I1,15/05/2022,Milan,Atalanta,2,0,H,,1.75,4.2,4.2,1.79,4.14,4.14,2026-07-20T17:15:10.263112,,,,,,,,,,,,
2021/2022,ita.1,I1,15/05/2022,Cagliari,Inter,1,3,A,,7.0,5.25,1.4,7.56,5.35,1.38,2026-07-20T17:15:10.263133,,,,,,,,,,,,
2021/2022,ita.1,I1,16/05/2022,Sampdoria,Fiorentina,4,1,H,,3.75,3.8,1.9,3.94,3.77,1.9,2026-07-20T17:15:10.263155,,,,,,,,,,,,
2021/2022,ita.1,I1,16/05/2022,Juventus,Lazio,2,2,D,,2.25,3.6,2.9,2.34,3.52,3.01,2026-07-20T17:15:10.263184,,,,,,,,,,,,
2021/2022,ita.1,I1,20/05/2022,Torino,Roma,0,3,A,,3.3,3.6,2.1,3.43,3.63,2.11,2026-07-20T17:15:10.263211,,,,,,,,,,,,
2021/2022,ita.1,I1,21/05/2022,Genoa,Bologna,0,1,A,,2.25,3.6,3.0,2.32,3.54,3.03,2026-07-20T17:15:10.263234,,,,,,,,,,,,
2021/2022,ita.1,I1,21/05/2022,Atalanta,Empoli,0,1,A,,1.22,7.0,11.0,1.22,7.22,11.29,2026-07-20T17:15:10.263251,,,,,,,,,,,,
2021/2022,ita.1,I1,21/05/2022,Fiorentina,Juventus,2,0,H,,1.8,3.8,4.2,1.83,3.84,4.26,2026-07-20T17:15:10.263267,,,,,,,,,,,,
2021/2022,ita.1,I1,21/05/2022,Lazio,Verona,3,3,D,,1.75,4.0,4.33,1.76,4.11,4.29,2026-07-20T17:15:10.263284,,,,,,,,,,,,
2021/2022,ita.1,I1,22/05/2022,Spezia,Napoli,0,3,A,,5.75,4.5,1.53,5.75,4.64,1.53,2026-07-20T17:15:10.263300,,,,,,,,,,,,
2021/2022,ita.1,I1,22/05/2022,Inter,Sampdoria,3,0,H,,1.14,8.0,19.0,1.13,9.1,20.49,2026-07-20T17:15:10.263317,,,,,,,,,,,,
2021/2022,ita.1,I1,22/05/2022,Sassuolo,Milan,0,3,A,,6.5,4.75,1.45,6.63,4.87,1.46,2026-07-20T17:15:10.263339,,,,,,,,,,,,
2021/2022,ita.1,I1,22/05/2022,Salernitana,Udinese,0,4,A,,1.7,4.0,4.75,1.7,4.17,4.6,2026-07-20T17:15:10.263355,,,,,,,,,,,,
2021/2022,ita.1,I1,22/05/2022,Venezia,Cagliari,0,0,D,,4.5,3.8,1.72,4.68,4.05,1.72,2026-07-20T17:15:10.263372,,,,,,,,,,,,
2021/2022,ger.1,D1,13/08/2021,M'gladbach,Bayern Munich,1,1,D,,4.33,4.5,1.66,4.54,4.32,1.7,2026-07-20T17:15:12.070562,,,,,,,,,,,,
2021/2022,ger.1,D1,14/08/2021,Augsburg,Hoffenheim,0,4,A,,3.2,3.75,2.1,3.19,3.68,2.17,2026-07-20T17:15:12.070663,,,,,,,,,,,,
2021/2022,ger.1,D1,14/08/2021,Bielefeld,Freiburg,0,0,D,,2.8,3.4,2.5,2.92,3.27,2.52,2026-07-20T17:15:12.070689,,,,,,,,,,,,
2021/2022,ger.1,D1,14/08/2021,Stuttgart,Greuther Furth,5,1,H,,1.83,4.0,4.0,1.86,3.9,3.98,2026-07-20T17:15:12.070753,,,,,,,,,,,,
2021/2022,ger.1,D1,14/08/2021,Union Berlin,Leverkusen,1,1,D,,2.75,3.4,2.55,2.79,3.36,2.57,2026-07-20T17:15:12.070781,,,,,,,,,,,,
2021/2022,ger.1,D1,14/08/2021,Wolfsburg,Bochum,1,0,H,,1.53,4.5,5.75,1.57,4.37,5.63,2026-07-20T17:15:12.070803,,,,,,,,,,,,
2021/2022,ger.1,D1,14/08/2021,Dortmund,Ein Frankfurt,5,2,H,,1.4,5.5,6.5,1.44,5.17,6.49,2026-07-20T17:15:12.070823,,,,,,,,,,,,
2021/2022,ger.1,D1,15/08/2021,Mainz,RB Leipzig,1,0,H,,8.0,5.5,1.33,8.07,5.44,1.35,2026-07-20T17:15:12.070844,,,,,,,,,,,,
2021/2022,ger.1,D1,15/08/2021,FC Koln,Hertha,3,1,H,,2.55,3.4,2.75,2.57,3.34,2.8,2026-07-20T17:15:12.070861,,,,,,,,,,,,
2021/2022,ger.1,D1,20/08/2021,RB Leipzig,Stuttgart,4,0,H,,1.36,5.25,7.0,1.42,4.98,7.24,2026-07-20T17:15:12.070881,,,,,,,,,,,,
2021/2022,ger.1,D1,21/08/2021,Bochum,Mainz,2,0,H,,2.62,3.5,2.62,2.66,3.51,2.6,2026-07-20T17:15:12.070901,,,,,,,,,,,,
2021/2022,ger.1,D1,21/08/2021,Ein Frankfurt,Augsburg,0,0,D,,1.57,4.5,5.25,1.61,4.38,5.1,2026-07-20T17:15:12.070923,,,,,,,,,,,,
2021/2022,ger.1,D1,21/08/2021,Freiburg,Dortmund,2,1,H,,5.5,4.75,1.5,5.5,4.59,1.55,2026-07-20T17:15:12.070941,,,,,,,,,,,,
2021/2022,ger.1,D1,21/08/2021,Greuther Furth,Bielefeld,1,1,D,,2.55,3.4,2.7,2.57,3.39,2.77,2026-07-20T17:15:12.070957,,,,,,,,,,,,
2021/2022,ger.1,D1,21/08/2021,Hertha,Wolfsburg,1,2,A,,3.0,3.4,2.37,3.06,3.44,2.33,2026-07-20T17:15:12.070974,,,,,,,,,,,,
2021/2022,ger.1,D1,21/08/2021,Leverkusen,M'gladbach,4,0,H,,2.2,3.75,3.0,2.32,3.62,2.95,2026-07-20T17:15:12.070991,,,,,,,,,,,,
2021/2022,ger.1,D1,22/08/2021,Hoffenheim,Union Berlin,2,2,D,,2.0,3.6,3.6,2.06,3.58,3.58,2026-07-20T17:15:12.071008,,,,,,,,,,,,
2021/2022,ger.1,D1,22/08/2021,Bayern Munich,FC Koln,3,2,H,,1.11,11.0,16.0,1.13,9.35,19.76,2026-07-20T17:15:12.071025,,,,,,,,,,,,
2021/2022,ger.1,D1,27/08/2021,Dortmund,Hoffenheim,3,2,H,,1.4,5.5,6.5,1.44,5.23,6.51,2026-07-20T17:15:12.071043,,,,,,,,,,,,
2021/2022,ger.1,D1,28/08/2021,Augsburg,Leverkusen,1,4,A,,4.75,3.8,1.72,4.75,3.87,1.74,2026-07-20T17:15:12.071059,,,,,,,,,,,,
2021/2022,ger.1,D1,28/08/2021,Bielefeld,Ein Frankfurt,1,1,D,,3.3,3.6,2.1,3.41,3.63,2.11,2026-07-20T17:15:12.071076,,,,,,,,,,,,
2021/2022,ger.1,D1,28/08/2021,FC Koln,Bochum,2,1,H,,1.83,3.75,4.2,1.88,3.73,4.11,2026-07-20T17:15:12.071093,,,,,,,,,,,,
2021/2022,ger.1,D1,28/08/2021,Mainz,Greuther Furth,3,0,H,,1.66,4.0,5.0,1.71,3.97,4.9,2026-07-20T17:15:12.071113,,,,,,,,,,,,
2021/2022,ger.1,D1,28/08/2021,Stuttgart,Freiburg,2,3,A,,2.15,3.6,3.2,2.23,3.53,3.22,2026-07-20T17:15:12.071130,,,,,,,,,,,,
2021/2022,ger.1,D1,28/08/2021,Bayern Munich,Hertha,5,0,H,,1.14,9.0,15.0,1.18,7.96,14.67,2026-07-20T17:15:12.071147,,,,,,,,,,,,
2021/2022,ger.1,D1,29/08/2021,Union Berlin,M'gladbach,2,1,H,,2.45,3.25,2.9,2.58,3.3,2.82,2026-07-20T17:15:12.071164,,,,,,,,,,,,
2021/2022,ger.1,D1,29/08/2021,Wolfsburg,RB Leipzig,1,0,H,,3.6,3.5,2.05,3.46,3.55,2.11,2026-07-20T17:15:12.071180,,,,,,,,,,,,
2021/2022,ger.1,D1,11/09/2021,Freiburg,FC Koln,1,1,D,,2.2,3.6,3.1,2.14,3.7,3.25,2026-07-20T17:15:12.071196,,,,,,,,,,,,
2021/2022,ger.1,D1,11/09/2021,Greuther Furth,Wolfsburg,0,2,A,,5.5,4.33,1.57,5.52,4.29,1.59,2026-07-20T17:15:12.071213,,,,,,,,,,,,
2021/2022,ger.1,D1,11/09/2021,Hoffenheim,Mainz,0,2,A,,2.0,3.75,3.5,2.03,3.8,3.46,2026-07-20T17:15:12.071230,,,,,,,,,,,,
2021/2022,ger.1,D1,11/09/2021,Leverkusen,Dortmund,3,4,A,,3.1,3.8,2.15,3.11,3.84,2.17,2026-07-20T17:15:12.071248,,,,,,,,,,,,
2021/2022,ger.1,D1,11/09/2021,Union Berlin,Augsburg,0,0,D,,1.7,3.75,5.0,1.73,3.94,4.69,2026-07-20T17:15:12.071265,,,,,,,,,,,,
2021/2022,ger.1,D1,11/09/2021,RB Leipzig,Bayern Munich,1,4,A,,3.0,3.8,2.2,2.99,3.87,2.22,2026-07-20T17:15:12.071281,,,,,,,,,,,,
2021/2022,ger.1,D1,12/09/2021,Ein Frankfurt,Stuttgart,1,1,D,,2.0,3.75,3.5,2.05,3.76,3.44,2026-07-20T17:15:12.071297,,,,,,,,,,,,
2021/2022,ger.1,D1,12/09/2021,Bochum,Hertha,1,3,A,,2.8,3.4,2.5,2.78,3.35,2.58,2026-07-20T17:15:12.071314,,,,,,,,,,,,
2021/2022,ger.1,D1,12/09/2021,M'gladbach,Bielefeld,3,1,H,,1.44,4.75,7.0,1.46,4.68,6.86,2026-07-20T17:15:12.071330,,,,,,,,,,,,
2021/2022,ger.1,D1,17/09/2021,Hertha,Greuther Furth,2,1,H,,1.75,3.75,4.2,1.81,3.75,4.51,2026-07-20T17:15:12.071348,,,,,,,,,,,,
2021/2022,ger.1,D1,18/09/2021,Augsburg,M'gladbach,1,0,H,,4.2,4.0,1.8,4.1,3.9,1.84,2026-07-20T17:15:12.071371,,,,,,,,,,,,
2021/2022,ger.1,D1,18/09/2021,Bayern Munich,Bochum,7,0,H,,1.06,13.0,29.0,1.07,13.19,31.99,2026-07-20T17:15:12.071394,,,,,,,,,,,,
2021/2022,ger.1,D1,18/09/2021,Bielefeld,Hoffenheim,0,0,D,,3.5,3.6,2.05,3.55,3.57,2.08,2026-07-20T17:15:12.071424,,,,,,,,,,,,
2021/2022,ger.1,D1,18/09/2021,Mainz,Freiburg,0,0,D,,2.0,3.6,3.6,2.07,3.58,3.53,2026-07-20T17:15:12.071457,,,,,,,,,,,,
2021/2022,ger.1,D1,18/09/2021,FC Koln,RB Leipzig,1,1,D,,4.5,4.0,1.72,4.37,3.95,1.78,2026-07-20T17:15:12.071481,,,,,,,,,,,,
2021/2022,ger.1,D1,19/09/2021,Stuttgart,Leverkusen,1,3,A,,3.3,3.75,2.1,3.18,3.73,2.16,2026-07-20T17:15:12.071505,,,,,,,,,,,,
2021/2022,ger.1,D1,19/09/2021,Dortmund,Union Berlin,4,2,H,,1.36,5.25,8.0,1.37,5.25,8.07,2026-07-20T17:15:12.071532,,,,,,,,,,,,
2021/2022,ger.1,D1,19/09/2021,Wolfsburg,Ein Frankfurt,1,1,D,,1.8,3.8,4.33,1.84,3.77,4.23,2026-07-20T17:15:12.071551,,,,,,,,,,,,
2021/2022,ger.1,D1,24/09/2021,Greuther Furth,Bayern Munich,1,3,A,,23.0,13.0,1.07,22.54,12.09,1.1,2026-07-20T17:15:12.071570,,,,,,,,,,,,
2021/2022,ger.1,D1,25/09/2021,Ein Frankfurt,FC Koln,1,1,D,,2.0,3.75,3.5,2.04,3.8,3.46,2026-07-20T17:15:12.071588,,,,,,,,,,,,
2021/2022,ger.1,D1,25/09/2021,Hoffenheim,Wolfsburg,3,1,H,,2.75,3.5,2.5,2.84,3.48,2.48,2026-07-20T17:15:12.071607,,,,,,,,,,,,
2021/2022,ger.1,D1,25/09/2021,Leverkusen,Mainz,1,0,H,,1.72,4.0,4.5,1.75,4.0,4.46,2026-07-20T17:15:12.071625,,,,,,,,,,,,
2021/2022,ger.1,D1,25/09/2021,RB Leipzig,Hertha,6,0,H,,1.3,5.5,10.0,1.35,5.27,8.85,2026-07-20T17:15:12.071648,,,,,,,,,,,,
2021/2022,ger.1,D1,25/09/2021,Union Berlin,Bielefeld,1,0,H,,1.66,3.8,5.5,1.72,3.73,5.13,2026-07-20T17:15:12.071665,,,,,,,,,,,,
2021/2022,ger.1,D1,25/09/2021,M'gladbach,Dortmund,1,0,H,,4.33,4.2,1.72,4.09,4.26,1.77,2026-07-20T17:15:12.071681,,,,,,,,,,,,
2021/2022,ger.1,D1,26/09/2021,Bochum,Stuttgart,0,0,D,,3.0,3.5,2.3,3.03,3.53,2.32,2026-07-20T17:15:12.071698,,,,,,,,,,,,
2021/2022,ger.1,D1,26/09/2021,Freiburg,Augsburg,3,0,H,,1.85,3.6,4.33,1.9,3.55,4.25,2026-07-20T17:15:12.071714,,,,,,,,,,,,
2021/2022,ger.1,D1,01/10/2021,FC Koln,Greuther Furth,3,1,H,,1.4,5.0,7.0,1.46,4.83,6.76,2026-07-20T17:15:12.071741,,,,,,,,,,,,
2021/2022,ger.1,D1,02/10/2021,Dortmund,Augsburg,2,1,H,,1.22,6.5,12.0,1.23,6.62,12.16,2026-07-20T17:15:12.071758,,,,,,,,,,,,
2021/2022,ger.1,D1,02/10/2021,Hertha,Freiburg,1,2,A,,2.9,3.4,2.4,2.88,3.35,2.51,2026-07-20T17:15:12.071775,,,,,,,,,,,,
2021/2022,ger.1,D1,02/10/2021,Stuttgart,Hoffenheim,3,1,H,,2.62,3.75,2.45,2.66,3.83,2.46,2026-07-20T17:15:12.071791,,,,,,,,,,,,
2021/2022,ger.1,D1,02/10/2021,Wolfsburg,M'gladbach,1,3,A,,2.1,3.6,3.4,2.18,3.52,3.31,2026-07-20T17:15:12.071808,,,,,,,,,,,,
2021/2022,ger.1,D1,02/10/2021,RB Leipzig,Bochum,3,0,H,,1.2,7.0,12.0,1.22,6.84,13.05,2026-07-20T17:15:12.071825,,,,,,,,,,,,
2021/2022,ger.1,D1,03/10/2021,Mainz,Union Berlin,1,2,A,,2.05,3.5,3.6,2.09,3.35,3.71,2026-07-20T17:15:12.071846,,,,,,,,,,,,
2021/2022,ger.1,D1,03/10/2021,Bayern Munich,Ein Frankfurt,1,2,A,,1.16,8.0,15.0,1.17,8.35,14.57,2026-07-20T17:15:12.071863,,,,,,,,,,,,
2021/2022,ger.1,D1,03/10/2021,Bielefeld,Leverkusen,0,4,A,,5.0,4.0,1.61,5.05,3.95,1.69,2026-07-20T17:15:12.071879,,,,,,,,,,,,
2021/2022,ger.1,D1,15/10/2021,Hoffenheim,FC Koln,5,0,H,,2.0,3.9,3.3,2.08,3.81,3.32,2026-07-20T17:15:12.071895,,,,,,,,,,,,
2021/2022,ger.1,D1,16/10/2021,Dortmund,Mainz,3,1,H,,1.4,5.0,7.5,1.42,4.94,7.19,2026-07-20T17:15:12.071912,,,,,,,,,,,,
2021/2022,ger.1,D1,16/10/2021,Ein Frankfurt,Hertha,1,2,A,,1.75,3.8,4.5,1.75,3.86,4.67,2026-07-20T17:15:12.071928,,,,,,,,,,,,
2021/2022,ger.1,D1,16/10/2021,Freiburg,RB Leipzig,1,1,D,,4.0,4.0,1.85,3.94,3.76,1.9,2026-07-20T17:15:12.071945,,,,,,,,,,,,
2021/2022,ger.1,D1,16/10/2021,Greuther Furth,Bochum,0,1,A,,2.37,3.5,2.9,2.43,3.44,2.9,2026-07-20T17:15:12.071962,,,,,,,,,,,,
2021/2022,ger.1,D1,16/10/2021,Union Berlin,Wolfsburg,2,0,H,,2.7,3.25,2.7,2.73,3.19,2.73,2026-07-20T17:15:12.071981,,,,,,,,,,,,
2021/2022,ger.1,D1,16/10/2021,M'gladbach,Stuttgart,1,1,D,,1.5,4.75,6.0,1.52,4.65,5.75,2026-07-20T17:15:12.071997,,,,,,,,,,,,
2021/2022,ger.1,D1,17/10/2021,Leverkusen,Bayern Munich,1,5,A,,4.75,4.6,1.6,4.88,4.57,1.61,2026-07-20T17:15:12.072013,,,,,,,,,,,,
2021/2022,ger.1,D1,17/10/2021,Augsburg,Bielefeld,1,1,D,,2.25,3.2,3.4,2.3,3.21,3.32,2026-07-20T17:15:12.072029,,,,,,,,,,,,
2021/2022,ger.1,D1,22/10/2021,Mainz,Augsburg,4,1,H,,1.61,3.8,5.75,1.66,3.79,5.64,2026-07-20T17:15:12.072046,,,,,,,,,,,,
2021/2022,ger.1,D1,23/10/2021,Bayern Munich,Hoffenheim,4,0,H,,1.14,9.0,15.0,1.17,8.31,14.03,2026-07-20T17:15:12.072064,,,,,,,,,,,,
2021/2022,ger.1,D1,23/10/2021,Bielefeld,Dortmund,1,3,A,,6.0,4.5,1.5,6.35,4.5,1.5,2026-07-20T17:15:12.072080,,,,,,,,,,,,
2021/2022,ger.1,D1,23/10/2021,RB Leipzig,Greuther Furth,4,1,H,,1.12,8.5,21.0,1.14,8.8,19.29,2026-07-20T17:15:12.072099,,,,,,,,,,,,
2021/2022,ger.1,D1,23/10/2021,Wolfsburg,Freiburg,0,2,A,,2.1,3.3,3.6,2.18,3.3,3.52,2026-07-20T17:15:12.072116,,,,,,,,,,,,
2021/2022,ger.1,D1,23/10/2021,Hertha,M'gladbach,1,0,H,,3.75,3.5,2.0,3.72,3.63,1.99,2026-07-20T17:15:12.072133,,,,,,,,,,,,
2021/2022,ger.1,D1,24/10/2021,FC Koln,Leverkusen,2,2,D,,3.3,3.8,2.05,3.2,3.89,2.09,2026-07-20T17:15:12.072149,,,,,,,,,,,,
2021/2022,ger.1,D1,24/10/2021,Stuttgart,Union Berlin,1,1,D,,2.37,3.5,2.9,2.48,3.45,2.82,2026-07-20T17:15:12.072166,,,,,,,,,,,,
2021/2022,ger.1,D1,24/10/2021,Bochum,Ein Frankfurt,2,0,H,,3.2,3.5,2.2,3.13,3.54,2.24,2026-07-20T17:15:12.072185,,,,,,,,,,,,
2021/2022,ger.1,D1,29/10/2021,Hoffenheim,Hertha,2,0,H,,1.66,4.0,4.75,1.72,3.96,4.74,2026-07-20T17:15:12.072202,,,,,,,,,,,,
