referee_name,games_total,leagues_covered,avg_yellows_per_game,avg_reds_per_game,avg_total_yellows,avg_total_goals,avg_fouls_per_game,avg_home_corners,latest_game_date,fetched_at,referee_q_id,referee_birth_year,referee_country,referee_career_years
Stian Røvig Sletner,12,nor.1,3.0,0.083,3.0,3.42,22.17,12.25,2026-07-12T15:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Sivert Amland,10,nor.1,3.7,0.3,3.7,3.5,26.1,9.4,2026-05-29T17:00Z,2026-07-20T00:57:59.591191+00:00,Q98549475,199.0,Q20,1802.0
Mischa Huru,3,nor.1,2.33,0.0,2.33,3.67,23.67,9.67,2026-07-18T12:00Z,2026-07-20T00:57:59.591191+00:00,Q112270360,199.0,Q20,1802.0
Jørgen Haugen,5,nor.1,3.6,0.2,3.6,2.4,28.4,9.4,2026-07-18T14:00Z,2026-07-20T00:57:59.591191+00:00,Q4809720,193.0,Q756617,1808.0
Mischa Kellerhals,1,nor.1,2.0,0.0,2.0,2.0,20.0,11.0,2026-05-25T15:00Z,2026-07-20T00:57:59.591191+00:00,Q112270360,199.0,Q20,1802.0
Donatas Rumsas,7,"uefa.champions,uefa.europa,uefa.europa.conf",4.57,0.0,4.57,2.57,28.14,5.57,2026-04-30T19:00Z,2026-07-20T00:57:59.591191+00:00,Q64547528,198.0,Q37,1803.0
Erik Lambrechts,6,"uefa.champions,uefa.europa",3.17,0.333,3.17,2.83,20.33,11.17,2026-03-12T20:00Z,2026-07-20T00:57:59.591191+00:00,Q20973369,198.0,Q31,1803.0
Irfan Peljto,4,"uefa.champions,uefa.europa",4.75,1.0,4.75,2.5,27.5,11.0,2026-03-19T17:45Z,2026-07-20T00:57:59.591191+00:00,Q64526050,198.0,Q225,1803.0
Rade Obrenovic,7,"uefa.champions,uefa.europa,uefa.europa.conf",4.57,0.286,4.57,2.43,23.29,7.86,2026-04-09T19:00Z,2026-07-20T00:57:59.591191+00:00,Q59202253,199.0,Q215,1802.0
Istvan Kovacs,7,"uefa.champions,uefa.europa",5.86,0.286,5.86,2.71,27.71,8.71,2026-04-08T19:00Z,2026-07-20T00:57:59.591191+00:00,Q102423349,,,
Marian Barbu,3,"uefa.champions,uefa.europa,uefa.europa.conf",5.0,0.0,5.0,4.33,26.67,8.33,2026-03-12T17:45Z,2026-07-20T00:57:59.591191+00:00,Q119851173,198.0,Q218,1803.0
Sandro Scharer,6,"uefa.champions,uefa.europa,uefa.europa.conf",3.83,0.0,3.83,4.67,24.33,8.5,2026-04-28T19:00Z,2026-07-20T00:57:59.591191+00:00,Q26704638,198.0,Q39,1803.0
Aliyar Aghayev,6,"uefa.champions,uefa.europa,uefa.europa.conf",5.33,0.5,5.33,2.33,25.83,8.83,2026-03-19T17:45Z,2026-07-20T00:57:59.591191+00:00,Q18235361,198.0,Q227,1803.0
Glenn Nyberg,6,"uefa.champions,uefa.europa",3.33,0.167,3.33,3.0,23.83,7.0,2026-04-09T19:00Z,2026-07-20T00:57:59.591191+00:00,Q51154224,198.0,Q34,1803.0
Damian Sylwestrzak,4,"uefa.champions,uefa.europa,uefa.europa.conf",6.75,0.25,6.75,3.0,32.5,10.0,2026-02-26T17:45Z,2026-07-20T00:57:59.591191+00:00,Q110692410,199.0,Q36,1802.0
Slavko Vincici,7,uefa.champions,2.43,0.429,2.43,3.57,23.86,10.57,2026-04-15T19:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Ivan Kruzliak,4,uefa.champions,4.75,0.0,4.75,4.0,24.0,9.0,2026-03-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q6096722,198.0,Q214,1803.0
Manfredas Lukjancukas,6,"uefa.champions,uefa.europa,uefa.europa.conf",3.67,0.167,3.67,2.5,21.33,6.5,2026-02-19T17:45Z,2026-07-20T00:57:59.591191+00:00,Q55355512,199.0,Q37,1802.0
Serdar Gözübüyük,5,uefa.champions,4.4,0.0,4.4,3.4,26.6,9.4,2026-03-10T20:00Z,2026-07-20T00:57:59.591191+00:00,Q1151124,198.0,Q29999,1803.0
Urs Schnyder,3,"uefa.champions,uefa.europa.conf",3.67,0.333,3.67,4.67,20.0,9.33,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q56395411,198.0,Q39,1803.0
Szymon Marciniak,5,"uefa.champions,uefa.europa",2.8,0.4,2.8,3.0,25.2,10.8,2026-03-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q7665089,198.0,Q36,1803.0
Danny Makkelie,8,"uefa.champions,uefa.europa",2.5,0.125,2.5,3.12,21.62,10.75,2026-04-29T19:00Z,2026-07-20T00:57:59.591191+00:00,Q13511583,198.0,Q29999,1803.0
Igor Pajac,5,"uefa.champions,uefa.europa,uefa.europa.conf",2.8,0.2,2.8,2.8,21.0,7.6,2026-03-12T20:00Z,2026-07-20T00:57:59.591191+00:00,Q56787217,198.0,Q224,1803.0
João Pinheiro,7,"uefa.champions,uefa.europa,uefa.europa.conf",4.43,0.143,4.43,2.57,20.57,9.43,2026-05-06T19:00Z,2026-07-20T00:57:59.591191+00:00,Q79035126,198.0,Q45,1803.0
Nick Walsh,7,"uefa.champions,uefa.europa,uefa.europa.conf",4.29,0.0,4.29,3.0,22.86,9.29,2026-04-09T19:00Z,2026-07-20T00:57:59.591191+00:00,Q30122335,199.0,Q145,1802.0
Halil Meler,5,"uefa.champions,uefa.europa",5.6,0.0,5.6,2.8,26.8,8.2,2026-03-11T17:45Z,2026-07-20T00:57:59.591191+00:00,,,,
Orel Grinfeld,3,"uefa.europa,uefa.europa.conf",4.33,0.0,4.33,2.0,27.0,7.33,2026-02-19T17:45Z,2026-07-20T00:57:59.591191+00:00,Q16522253,198.0,Q801,1803.0
Nikola Dabanovic,4,"uefa.europa,uefa.europa.conf",4.25,0.25,4.25,3.75,26.75,11.0,2026-02-26T20:00Z,2026-07-20T00:57:59.591191+00:00,Q46700258,198.0,Q236,1803.0
Radu Petrescu,3,uefa.europa,4.0,0.0,4.0,2.33,25.67,9.33,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q27966252,198.0,Q218,1803.0
Luís Godinho,4,"uefa.europa,uefa.europa.conf",6.0,0.0,6.0,2.5,25.0,9.75,2026-03-12T20:00Z,2026-07-20T00:57:59.591191+00:00,Q109524546,198.0,Q45,1803.0
Kristo  Tohver ,2,uefa.europa,6.5,0.5,6.5,3.5,23.5,5.5,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Allard Lindhout,3,uefa.europa,5.67,0.667,5.67,1.67,25.0,13.0,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q17833805,198.0,Q29999,1803.0
Horatiu Fesnic,3,uefa.europa,6.67,0.0,6.67,3.0,35.67,7.33,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q42907713,198.0,Q218,1803.0
Sander Van Der Eijk,6,"uefa.europa,uefa.europa.conf",4.33,0.833,4.33,2.67,24.5,8.67,2026-03-19T20:00Z,2026-07-20T00:57:59.591191+00:00,Q29867849,199.0,Q29999,1802.0
Matej Jug,3,uefa.europa,4.33,0.333,4.33,2.0,26.67,7.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q2255536,198.0,Q215,1803.0
Vasilis Fotias,6,"uefa.europa,uefa.europa.conf",4.17,0.167,4.17,2.17,24.17,10.83,2026-03-12T17:45Z,2026-07-20T00:57:59.591191+00:00,,,,
Nenad Minakovic,4,"uefa.europa,uefa.europa.conf",3.25,0.0,3.25,3.0,28.0,9.0,2026-02-26T20:00Z,2026-07-20T00:57:59.591191+00:00,Q123115300,198.0,Q403,1803.0
Mohammed Al-Hakim,4,uefa.europa,4.75,0.0,4.75,2.75,22.25,9.75,2026-01-22T17:45Z,2026-07-20T00:57:59.591191+00:00,Q23772509,198.0,Q34,1803.0
Srdjan Jovanovic,4,"uefa.europa,uefa.europa.conf",5.5,0.5,5.5,4.25,27.5,8.75,2026-03-19T20:00Z,2026-07-20T00:57:59.591191+00:00,Q41710927,198.0,Q403,1803.0
Julian Weinberger,2,uefa.europa,3.0,0.0,3.0,2.0,26.5,7.5,2025-11-06T20:00Z,2026-07-20T00:57:59.591191+00:00,Q56787220,198.0,Q40,1803.0
Sebastian Gishamer,4,"uefa.europa,uefa.europa.conf",3.75,0.0,3.75,3.25,25.0,10.5,2026-03-12T17:45Z,2026-07-20T00:57:59.591191+00:00,Q15847038,198.0,Q40,1803.0
Enea Jorgji,2,"uefa.europa,uefa.europa.conf",4.0,1.5,4.0,3.5,27.0,9.5,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q20744465,198.0,Q222,1803.0
Andris Treimanis,4,"uefa.europa,uefa.europa.conf",6.0,0.5,6.0,2.25,28.5,8.0,2026-03-19T17:45Z,2026-07-20T00:57:59.591191+00:00,Q16068995,198.0,Q211,1803.0
António Nobre,2,uefa.europa,5.0,0.5,5.0,2.0,21.0,9.5,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q112570509,198.0,Q45,1803.0
Anastasios Sidiropoulos ,3,"uefa.europa,uefa.europa.conf",3.67,0.0,3.67,2.0,23.0,10.0,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q16218787,197.0,Q41,1804.0
Jakob Kehlet,1,uefa.europa,13.0,0.0,13.0,1.0,26.0,11.0,2025-10-23T16:45Z,2026-07-20T00:57:59.591191+00:00,Q12318960,198.0,Q756617,1803.0
Filip Glova,2,"uefa.europa,uefa.europa.conf",2.5,0.0,2.5,3.0,18.0,11.5,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q24623726,198.0,Q214,1803.0
Elchin Masiyev,2,uefa.europa,3.5,0.5,3.5,0.5,23.0,7.5,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q123119047,199.0,Q227,1802.0
Goga Kikacheishvili,2,uefa.europa,4.0,0.0,4.0,4.5,26.5,8.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q114981713,199.0,,1802.0
Georgi Kabakov ,4,"uefa.europa,uefa.europa.conf",4.0,0.0,4.0,3.75,24.75,10.75,2026-03-12T20:00Z,2026-07-20T00:57:59.591191+00:00,Q21063886,198.0,Q219,1803.0
Mohammed Al Emara,4,"uefa.europa,uefa.europa.conf",3.0,0.0,3.0,2.25,21.5,7.0,2026-03-12T20:00Z,2026-07-20T00:57:59.591191+00:00,Q85983611,199.0,Q33,1802.0
Anastasios Papapetrou,3,uefa.europa,2.33,0.0,2.33,3.33,22.33,9.0,2026-01-22T20:00Z,2026-07-20T00:57:59.591191+00:00,Q56787225,198.0,Q41,1803.0
Juxhin Xhaja,4,"uefa.europa,uefa.europa.conf",5.25,0.5,5.25,2.5,23.0,9.75,2026-02-19T20:00Z,2026-07-20T00:57:59.591191+00:00,Q114122516,199.0,Q222,1802.0
John Beaton,2,uefa.europa,5.5,0.5,5.5,3.0,23.0,7.5,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q6221258,198.0,Q145,1803.0
Giorgi Kruashvili,3,"uefa.europa,uefa.europa.conf",6.0,0.333,6.0,2.67,21.0,9.33,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q59347609,198.0,Q230,1803.0
Mykola Balakin,5,"uefa.europa,uefa.europa.conf",3.4,0.0,3.4,3.0,23.8,8.2,2026-03-19T20:00Z,2026-07-20T00:57:59.591191+00:00,Q28701898,198.0,Q212,1803.0
Balazs Berke,2,uefa.europa,4.0,0.0,4.0,6.0,21.5,9.5,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q28722435,198.0,Q28,1803.0
Morten Krogh,2,uefa.europa,2.0,0.0,2.0,1.0,27.0,9.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q44694917,198.0,Q756617,1803.0
Oleksiy Derevinskyi,3,"uefa.europa,uefa.europa.conf",4.67,0.0,4.67,2.67,20.67,13.0,2026-01-22T20:00Z,2026-07-20T00:57:59.591191+00:00,Q105091474,198.0,Q212,1803.0
Robert Hennessy,3,"uefa.europa,uefa.europa.conf",4.33,0.0,4.33,2.33,27.67,6.33,2026-01-22T20:50Z,2026-07-20T00:57:59.591191+00:00,Q67183117,199.0,Q27,1802.0
Lothar D'Hondt,2,uefa.europa.conf,3.0,0.5,3.0,1.5,23.5,10.5,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q136232949,,Q31,
Radoslav Gidzhenov,2,uefa.europa.conf,5.5,0.5,5.5,1.5,26.5,7.5,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q131626326,199.0,,1802.0
Igor Stojchevski,1,uefa.europa.conf,4.0,1.0,4.0,1.0,27.0,12.0,2025-10-02T16:45Z,2026-07-20T00:57:59.591191+00:00,Q134732539,,,
Michal Ocenas,2,uefa.europa.conf,5.0,0.0,5.0,2.0,25.0,8.5,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q106452888,199.0,Q214,1802.0
Genc Nuza,2,uefa.europa.conf,3.0,0.0,3.0,3.0,27.0,8.5,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q28600195,198.0,Q1246,1803.0
Milos Milanovic,2,uefa.europa.conf,4.0,0.0,4.0,2.0,20.0,11.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q12755455,198.0,,1803.0
Duje Strukan,2,uefa.europa.conf,5.5,0.0,5.5,5.0,21.5,10.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q65129726,198.0,Q224,1803.0
Ishmael Barbara,2,uefa.europa.conf,3.0,0.5,3.0,2.0,27.0,9.5,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q128034234,199.0,,1802.0
Pawel Raczkowski,2,uefa.europa.conf,4.0,0.0,4.0,1.0,21.0,8.0,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q16586791,198.0,Q36,1803.0
Atilla Karaoglan,1,uefa.europa.conf,7.0,0.0,7.0,5.0,21.0,9.0,2025-10-02T19:00Z,2026-07-20T00:57:59.591191+00:00,Q73912679,198.0,Q43,1803.0
Jasper Vergoote,2,uefa.europa.conf,3.0,0.0,3.0,4.5,24.0,8.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q127268855,199.0,Q31,1802.0
Antoni Bandic,1,uefa.europa.conf,10.0,1.0,10.0,4.0,24.0,15.0,2025-10-23T16:45Z,2026-07-20T00:57:59.591191+00:00,Q130571561,,Q225,
Sandi Putros,2,uefa.europa.conf,4.5,0.5,4.5,0.0,19.5,14.5,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q29345997,198.0,Q756617,1803.0
Robert Harvey,1,uefa.europa.conf,7.0,0.0,7.0,2.0,35.0,10.0,2025-10-23T16:45Z,2026-07-20T00:57:59.591191+00:00,Q7345299,195.0,Q145,1806.0
Stefan Ebner,2,uefa.europa.conf,5.0,0.5,5.0,0.5,27.0,9.0,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q120987099,199.0,Q40,1802.0
Yigal Frid,3,uefa.europa.conf,3.67,0.333,3.67,3.0,25.67,8.33,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q106452920,199.0,Q801,1802.0
Gustavo Correia,2,uefa.europa.conf,3.0,0.0,3.0,2.0,16.5,9.0,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q111434506,199.0,Q45,1802.0
Dario Bel,2,uefa.europa.conf,7.0,0.0,7.0,1.5,29.5,8.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q65129700,198.0,Q224,1803.0
Damian Kos,1,uefa.europa.conf,4.0,0.0,4.0,1.0,32.0,10.0,2025-10-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q125209013,198.0,Q36,1803.0
Gal Leibovitz,1,uefa.europa.conf,3.0,0.0,3.0,2.0,31.0,6.0,2025-10-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q119851172,,Q801,
Henrik Nalbandyan,1,uefa.europa.conf,7.0,0.0,7.0,1.0,30.0,10.0,2025-10-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q123553060,199.0,Q399,1802.0
Chrysovalantis Theouli,1,uefa.europa.conf,3.0,0.0,3.0,3.0,32.0,10.0,2025-10-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q119851175,198.0,Q229,1803.0
Jamie Robinson,1,uefa.europa.conf,5.0,1.0,5.0,1.0,26.0,9.0,2025-10-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q130614101,,,
Ivar Orri Kristjansson,2,uefa.europa.conf,4.0,0.0,4.0,2.5,22.0,8.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q113996969,,Q189,
Ondrej Berka,3,uefa.europa.conf,3.33,0.0,3.33,2.33,23.33,9.33,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q112501596,198.0,Q213,1803.0
Pavle Ilic,1,uefa.europa.conf,7.0,0.0,7.0,2.0,23.0,5.0,2025-10-23T19:00Z,2026-07-20T00:57:59.591191+00:00,Q124564699,193.0,,1808.0
Dalibor Cerny,2,uefa.europa.conf,3.0,0.0,3.0,1.5,17.5,10.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q59055605,,,
Christos Vergetis,1,uefa.europa.conf,5.0,0.0,5.0,4.0,22.0,6.0,2025-11-06T17:45Z,2026-07-20T00:57:59.591191+00:00,,,,
Lawrence Visser,2,uefa.europa.conf,8.0,0.0,8.0,3.0,30.5,10.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q22002058,198.0,Q31,1803.0
Bulat Sariyev,2,uefa.europa.conf,1.5,0.0,1.5,3.0,28.0,8.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,Q123514167,199.0,Q232,1802.0
Andrei Chivulete,2,uefa.europa.conf,3.5,0.5,3.5,2.0,20.5,8.5,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q18538972,198.0,Q218,1803.0
Joonas Jaanovits,1,uefa.europa.conf,1.0,0.0,1.0,0.0,21.0,9.0,2025-11-06T17:45Z,2026-07-20T00:57:59.591191+00:00,Q136842470,199.0,Q191,1802.0
Marc Nagtegaal,1,uefa.europa.conf,1.0,0.0,1.0,6.0,19.0,10.0,2025-11-06T20:00Z,2026-07-20T00:57:59.591191+00:00,Q87110359,199.0,Q29999,1802.0
Mihály Káprály,1,uefa.europa.conf,5.0,1.0,5.0,2.0,39.0,6.0,2025-11-06T20:00Z,2026-07-20T00:57:59.591191+00:00,Q102126447,199.0,Q212,1802.0
Edgar Malcevs,2,uefa.europa.conf,6.5,0.0,6.5,2.5,31.0,10.0,2025-12-11T17:45Z,2026-07-20T00:57:59.591191+00:00,,,,
Philip Farrugia,1,uefa.europa.conf,6.0,0.0,6.0,2.0,27.0,6.0,2025-11-06T20:00Z,2026-07-20T00:57:59.591191+00:00,Q112570507,198.0,Q233,1803.0
Martin Matosa,2,uefa.europa.conf,5.5,0.5,5.5,2.0,27.5,8.5,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q140471887,199.0,Q215,1802.0
Viktor Kopievskiy,1,uefa.europa.conf,6.0,0.0,6.0,5.0,9.0,13.0,2025-11-06T20:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Oliver Reitala,1,uefa.europa.conf,1.0,1.0,1.0,1.0,19.0,9.0,2025-11-06T20:00Z,2026-07-20T00:57:59.591191+00:00,Q124985723,199.0,Q33,1802.0
Jovan Kachevski,1,uefa.europa.conf,8.0,2.0,8.0,4.0,35.0,9.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,,,,
Christian-Petru Ciochirca,1,uefa.europa.conf,5.0,0.0,5.0,3.0,18.0,10.0,2025-11-27T17:45Z,2026-07-20T00:57:59.591191+00:00,Q123126727,198.0,Q40,1803.0
Denys Shurman,1,uefa.europa.conf,1.0,0.0,1.0,4.0,19.0,12.0,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q60825394,198.0,Q212,1803.0
Mikkel Redder,1,uefa.europa.conf,6.0,0.0,6.0,1.0,31.0,12.0,2025-11-27T20:00Z,2026-07-20T00:57:59.591191+00:00,Q65230319,199.0,Q756617,1802.0
Bence Csonka,1,uefa.europa.conf,5.0,0.0,5.0,3.0,39.0,4.0,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q97940534,199.0,Q28,1802.0
Joey Kooij,1,uefa.europa.conf,4.0,0.0,4.0,1.0,38.0,4.0,2025-12-11T20:00Z,2026-07-20T00:57:59.591191+00:00,Q29595926,199.0,Q29999,1802.0
Danilo Nikolic,1,uefa.europa.conf,2.0,0.0,2.0,5.0,21.0,11.0,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q10992291,192.0,Q36704,1809.0
Marek Radina,1,uefa.europa.conf,5.0,1.0,5.0,4.0,25.0,11.0,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Patrik Kolaric,1,uefa.europa.conf,3.0,0.0,3.0,3.0,20.0,4.0,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q139671654,199.0,,1802.0
Florjan Lata,1,uefa.europa.conf,4.0,0.0,4.0,1.0,21.0,15.0,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q134839386,,,
David Smajc,1,uefa.europa.conf,2.0,0.0,2.0,3.0,21.0,7.0,2025-12-18T20:00Z,2026-07-20T00:57:59.591191+00:00,Q111609891,198.0,Q215,1803.0
